Session,Établissement,Académie de l’établissement,Commune de l’établissement,Sélectivité,Filière de formation très agrégée,Filière de formation détaillée bis,Coordonnées GPS de la formation,Capacité de l’établissement par formation,Concours communs et banque d'épreuves,Lien de la formation sur la plateforme Parcoursup,Taux d’accès,Effectif total des candidats en phase principale,Effectif des candidats néo bacheliers généraux en phase principale,Effectif des candidats néo bacheliers technologiques en phase principale,Effectif des candidats néo bacheliers professionnels en phase principale,Effectif total des candidats en phase complémentaire,Effectif des candidats néo bacheliers généraux en phase complémentaire,Effectif des candidats néo bacheliers technologique en phase complémentaire,% d’admis néo bacheliers sans mention au bac,% d’admis néo bacheliers avec mention Assez Bien au bac,% d’admis néo bacheliers avec mention Bien au bac,% d’admis néo bacheliers avec mention Très Bien au bac,% d’admis néo bacheliers avec mention Très Bien avec félicitations au bac,% d’admis néo bacheliers généraux,Dont % d’admis avec mention (BG),% d’admis néo bacheliers technologiques,Dont % d’admis avec mention (BT),% d’admis néo bacheliers professionnels,Part des terminales générales qui étaient en position de recevoir une proposition en phase principale,Part des terminales technologiques qui étaient en position de recevoir une proposition en phase principale,Part des terminales professionnelles qui étaient en position de recevoir une proposition en phase principale
2025,institut des sciences et techniques de la readaptation universite lyon 1,lyon,lyon 8e  arrondissement,formation sélective,autre formation,certificat de capacité d'orthoptiste,"45.74148,4.88109",40,aix-marseille université - site de marseille timone,https://dossierappel.parcoursup.fr/candidats/public/fiches/afficherficheformation?g_ta_cod=28087&typebac=0&originepc=0,13,936,267,71,9,0,0,0,0.0,54.0,15.0,31.0,0.0,85.0,85.0,15.0,15.0,0.0,93,7,1
2025,université paris 8,créteil,saint-denis,formation non sélective,licence,langues étrangères appliquées,"48.9458,2.36341",32,,https://dossierappel.parcoursup.fr/candidats/public/fiches/afficherficheformation?g_ta_cod=28100&typebac=0&originepc=0,98,213,81,30,21,36,3,7,83.0,17.0,0.0,0.0,0.0,33.0,8.0,33.0,0.0,33.0,57,24,19
2025,ifsi du ch de roanne,lyon,roanne,formation sélective,ifsi,d.e infirmier,"46.0446,4.07402",56,,https://dossierappel.parcoursup.fr/candidats/public/fiches/afficherficheformation?g_ta_cod=28144&typebac=0&originepc=0,40,2791,496,654,435,0,0,0,38.0,35.0,24.0,3.0,0.0,38.0,16.0,51.0,35.0,11.0,56,37,7
2025,université claude bernard lyon 1,lyon,villeurbanne,formation non sélective,pass,parcours d'accès spécifique santé (pass),"45.7818,4.86821",195,,https://dossierappel.parcoursup.fr/candidats/public/fiches/afficherficheformation?g_ta_cod=28178&typebac=0&originepc=0,36,5973,4673,141,54,0,0,0,12.0,42.0,33.0,10.0,2.0,100.0,87.0,0.0,0.0,0.0,99,1,0
2025,université de bordeaux - antenne d'agen,bordeaux,agen,formation non sélective,licence,administration économique et sociale,"44.2082,0.62735",110,,https://dossierappel.parcoursup.fr/candidats/public/fiches/afficherficheformation?g_ta_cod=28197&typebac=0&originepc=0,nd,1518,859,231,45,201,42,25,58.0,25.0,12.0,4.0,0.0,50.0,29.0,40.0,4.0,10.0,nd,nd,nd
2025,université de rouen normandie - campus santé,normandie,rouen,formation sélective,autre formation,certificat de capacité d'orthophoniste,"49.438,1.10831",40,,https://dossierappel.parcoursup.fr/candidats/public/fiches/afficherficheformation?g_ta_cod=28220&typebac=0&originepc=0,15,1403,698,39,3,0,0,0,0.0,23.0,47.0,27.0,3.0,97.0,97.0,3.0,3.0,0.0,99,1,0
2025,université des antilles - pôle martinique,martinique,schoelcher,formation non sélective,licence_las,droit,"14.6479,-61.0995",20,,https://dossierappel.parcoursup.fr/candidats/public/fiches/afficherficheformation?g_ta_cod=28284&typebac=0&originepc=0,97,115,76,17,5,44,16,8,50.0,40.0,0.0,0.0,0.0,70.0,40.0,30.0,0.0,0.0,77,19,4
2025,sorbonne université,paris,paris  6e  arrondissement,formation non sélective,licence_las,lettres,"48.88343,2.31002",15,,https://dossierappel.parcoursup.fr/candidats/public/fiches/afficherficheformation?g_ta_cod=28337&typebac=0&originepc=0,42,270,145,2,5,0,0,0,15.0,38.0,46.0,0.0,0.0,92.0,77.0,8.0,8.0,0.0,96,2,3
2025,institut national du patrimoine (département des restaurateurs),créteil,aubervilliers,formation sélective,autre formation,conservation-restauration des biens culturels,"48.91097,2.39142",2,,https://dossierappel.parcoursup.fr/candidats/public/fiches/afficherficheformation?g_ta_cod=28356&typebac=0&originepc=0,33,9,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100,0,0
2025,université sorbonne paris nord,créteil,villetaneuse,formation sélective,licence,droit,"48.9571,2.33972",32,,https://dossierappel.parcoursup.fr/candidats/public/fiches/afficherficheformation?g_ta_cod=28365&typebac=0&originepc=0,42,643,363,70,9,3532,1395,466,15.0,30.0,50.0,5.0,0.0,95.0,85.0,5.0,0.0,0.0,100,0,0
2025,institut régional du travail social de perpignan,montpellier,perpignan,formation sélective,efts,d.e educateur spécialisé,"42.69408,2.92462",28,,https://dossierappel.parcoursup.fr/candidats/public/fiches/afficherficheformation?g_ta_cod=28395&typebac=0&originepc=0,nd,211,40,41,24,0,0,0,25.0,50.0,25.0,0.0,0.0,50.0,25.0,50.0,50.0,0.0,nd,nd,nd
2025,lycée professionnel paul valéry,nice,menton,formation sélective,bts,management commercial opérationnel,"43.7834,7.51183",20,,https://dossierappel.parcoursup.fr/candidats/public/fiches/afficherficheformation?g_ta_cod=28402&typebac=0&originepc=0,52,315,50,103,115,0,0,0,33.0,56.0,6.0,0.0,0.0,17.0,0.0,17.0,11.0,67.0,30,31,38
