Nom du site où est dispensée la formation,Adresse du site de formation,Complément d’adresse du site de formation,Suite du complément d’adresse du site de formation,Ville du site de formation,Coordonnées géographiques du site de formation,Nom officiel (long) de l’établissement accrédité,Intitulé de la mention de master,Modalités d’enseignement de la mention,Intitulé du parcours,Modalités d’enseignement du parcours,Domaine(s) de la mention de master,Existence d’une capacité d’accueil limitée au 1er semestre,Capacité d’accueil limitée au 1er semestre,Année de la campagne de recueil des informations,Licences conseillées pour suivre la formation de la mention,URL de la fiche relative à la mention sur le site internet de l’établissement
Université Claude Bernard Lyon 1,43 Boulevard du 11 Novembre 1918,,,Villeurbanne,"45.778928,4.868194",Institut national des sciences appliquées de Lyon,Acoustique,Formation initiale,,,"SCIENCES, TECHNOLOGIES, SANTÉ",Sans objet,,2021.0,,http://master-acoustics.ec-lyon.fr/index.fr.php
Faculté des sciences,3. place Victor Hugo,,,Marseille,"43.296482,5.369779",Université d'Aix-Marseille,Acoustique et musicologie,Formation initiale|Formation continue,,,"ARTS, LETTRES, LANGUES|SCIENCES ET TECHNOLOGIES",Oui,24.0,2019.0,"Histoire de l'art et archéologie|Histoire|Sociologie|Informatique|Mathématiques|Mécanique|Physique|Sciences pour l'ingénieur|Arts du spectacle|Musicologie|Humanités|Sciences de l'Homme, anthropologie, ethnologie|Sciences et technologies",https://formations.univ-amu.fr/ME5HSM.html
Université de Poitiers,15  RUE DE L'HOTEL DIEU,Bât. E5 & E7 - TSA 71117,,POITIERS Cedex 9,,Université de Poitiers,Actuariat,Formation initiale|Formation continue|Alternance|Apprentissage,SARADS - Statistique et Actuariat,Formation initiale|Formation continue|Alternance|Apprentissage,"DROIT, ECONOMIE, GESTION",Oui,25.0,2021.0,,
Ecole des hautes études en santé publique,15 avenue du Professeur Léon Bernard,CS74312,,RENNES CEDEX,,Ecole des hautes études en santé publique,Administration de la santé,Formation initiale,Analyse et management des organisations de santé (AMOS – Paris),,"DROIT, ECONOMIE, GESTION",Sans objet,,2021.0,,
Faculté de droit et science politique,3. Avenue Robert Schuman,,,Aix-en-Provence,"43.529742,5.447427",Université d'Aix-Marseille,Administration et liquidation d'entreprises en difficulté,Formation initiale|Formation continue,,,"DROIT, ECONOMIE, GESTION",Oui,35.0,2019.0,Droit,
Université Paris-XII,61 avenue du Général de Gaulle,,,CRETEIL CEDEX,,Université Paris-XII,Administration et échanges internationaux,Formation initiale|Formation continue|Alternance|Apprentissage,Commerce électronique,Formation initiale|Formation continue|Alternance|Apprentissage,"DROIT, ECONOMIE, GESTION",Oui,380.0,2021.0,,
Institut Sociétés et Humanités - ISH,Les Tertiales,Rue des Cent Têtes,UA DROIT ADMINISTRATION PUBLIQUE,VALENCIENNES CEDEX 9,"50.364607,3.529644",Université Polytechnique Hauts-de-France,Administration publique,Formation initiale|Formation continue|Apprentissage,ADMINISTRATION DES SERVICES SANITAIRES ET SOCIAUX,Formation initiale|Formation continue|Apprentissage,"DROIT, ECONOMIE, GESTION",Oui,120.0,2021.0,Administration publique|Droit|Histoire|Economie et gestion|Géographie et aménagement|Humanités,https://formations.uphf.fr/cdm/program/FR_RNE_0593279U_PR_SOF-31103
"Faculté de Droit,  de sciences politiques et de gestion",1 place d'Athènes,,,Strasbourg,"0.0,-0.0",Université de Strasbourg,Administration économique et sociale,Formation initiale|Formation continue|Apprentissage,Commerce électronique,Formation initiale|Formation continue,"DROIT, ECONOMIE, GESTION",Oui,70.0,2020.0,,
UFR des Sciences,"Pôle scientifique Saint-Leu 33, rue Saint-Leu",,,AMIENS Cedex 1,"49.899048,2.300528",Université d'Amiens,"Agrosciences, environnement, territoires, paysage, forêt",Formation initiale|Formation continue,"ÉCOLOGIE, BIODIVERSITÉ (EB)",Formation initiale|Formation continue,"SCIENCES, TECHNOLOGIES, SANTÉ",Oui,60.0,2019.0,Géographie et aménagement|Sciences de la Terre|Sciences de la vie|Sciences de la vie et de la Terre,
Université de technologie de Compiègne,RUE ROGER COUTTOLENC,,,COMPIEGNE CEDEX,,Université de technologie de Compiègne,Analyse et politique économique,Formation initiale|Formation continue,"Politiques de la connaissance, de l’innovation et de la transition numérique (Knowledge, innovation and digital transition policies - KID)",Formation initiale|Formation continue,"DROIT, ECONOMIE, GESTION|SCIENCES HUMAINES ET SOCIALES",Oui,35.0,2020.0,,
